AdGroup ID,Name,Campaign ID,Records(since 2018-07-01)
2680059862197,Ad Group For Pin: 687195048670,626734574922,0
2680059766906,Ad Group For Pin: 687195024996,626734564486,0
2680060117575,Ad Group For Pin: 687195316088,626734656877,0
2680060111614,Ad Group For Pin: 687195107921,626734595900,0
2680060479510,Ad Group For Pin: 687195711304,626735640905,91
2680060152870,Ad Group For Pin: 687195122890,626734601367,0
2680061841097,PinOT_KW0_LAL810PxC09Makeup_i32W-NW_LPX_C0920_US_TR_GE_off1_Web,626738660047,0
2680060956471,Ad Group For Pin: 687196190192,626736667446,0
2680060085866,Ad Group For Pin: 687195511599,626735531404,2
2680059614194,Ad Group For Pin: 687195389816,626735472199,0
2680061536926,PinOT_KW0_LAL810PxHB2_C01i31_LPX_C0619_US_TR_XP12x_off1_All_All_Vhigh,626737727556,2
2680059701082,Ad Group For Pin: 687195412084,626735481535,0
2680060117590,Ad Group For Pin: 687195316094,626734656882,2
2680060681838,Ad Group For Pin: 687195867462,626736521641,0
2680062390654,New_Pin2Tap_KW2s_Beauty_Phrase-Makeup _TopGL_i32W_LPA_C0301_US_TR_XP11__Android_Off1,626739728887,0
2680060561609,Ad Group For Pin: 687195789527,626735689413,0
2680061536931,PinOT_KW2_C06IG_C01i31_LPX_C0619_US_TR_XP12x_off1_All_All_Vhigh,626737727563,52
2680060124476,Ad Group For Pin: 687195318779,626734657840,48
2680059701643,Ad Group For Pin: 687195412200,626735481668,76
2680060561617,Ad Group For Pin: 687195789535,626735689431,1
2680059701214,Ad Group For Pin: 687195412151,626735481565,0
2680061971785,Pin_KW42010P_MU1_C09Glitter2-Pin_LP1_C1020_US_TR_XP0_Off1_D2,626738705964,5
2680059666785,Ad Group For Pin: 687195011537,626734553198,0
2680060479507,Ad Group For Pin: 687195711301,626735640898,37
2680060457576,Ad Group For Pin: 687195690749,626735628754,23
2680059701714,Ad Group For Pin: 687195412063,626735481683,0
2680059701534,Ad Group For Pin: 687195412183,626735481639,12
2680059615546,Ad Group For Pin: 687195390268,626735472420,13
2680061533652,PinOT_KW2_TopGL_C01i31_LPX_C0619_US_TR_XP12x_off1_All_All_Low,626737725794,3
2680062659328,PinOT_KW0_LAL810PXCSSummerD02iSeries-Branded-V1_LPX_D0531_US_TR_XP0_off1,626739859541,1
2680060082594,Ad Group For Pin: 687194937186,626734522994,0
